country,period,scenario,value
ZAF:natref,2040,high_demand,2040
ZAF:sasol,2040,high_demand,1
ZAF:enref,2041,high_demand,0.7
ZAF:natref,2041,high_demand,2041
ZAF:sasol,2041,high_demand,1
ZAF:enref,2042,high_demand,0.7
ZAF:natref,2042,high_demand,2042
ZAF:sasol,2042,high_demand,1
ZAF:enref,2043,high_demand,0.7
ZAF:natref,2043,high_demand,2043
ZAF:sasol,2043,high_demand,1
ZAF:enref,2044,high_demand,0.7
ZAF:natref,2044,high_demand,2044
ZAF:sasol,2044,high_demand,1
ZAF:enref,2045,high_demand,0.7
ZAF:natref,2045,high_demand,2045
ZAF:sasol,2045,high_demand,1
ZAF:enref,2046,high_demand,0.7
ZAF:natref,2046,high_demand,2046
ZAF:sasol,2046,high_demand,1
ZAF:enref,2047,high_demand,0.7
ZAF:natref,2047,high_demand,2047
ZAF:sasol,2047,high_demand,1
ZAF:enref,2048,high_demand,0.7
ZAF:natref,2048,high_demand,2048
ZAF:sasol,2048,high_demand,1
ZAF:enref,2049,high_demand,0.7
ZAF:natref,2049,high_demand,2049
ZAF:sasol,2049,high_demand,1
ZAF:enref,2050,high_demand,0.7
ZAF:natref,2050,high_demand,2050
ZAF:sasol,2050,high_demand,1
ZAF:enref,2024,high_demand,0.02
ZAF:natref,2024,high_demand,2024
ZAF:sasol,2024,high_demand,34
ZAF:enref,2025,high_demand,0.01
ZAF:natref,2025,high_demand,2025
ZAF:sasol,2025,high_demand,25
ZAF:enref,2026,high_demand,0.02
ZAF:natref,2026,high_demand,2026
ZAF:sasol,2026,high_demand,84
ZAF:enref,2027,high_demand,0.03
ZAF:natref,2027,high_demand,2027
ZAF:sasol,2027,high_demand,235
ZAF:enref,2028,high_demand,0.04
ZAF:natref,2028,high_demand,2028
ZAF:sasol,2028,high_demand,323
ZAF:enref,2029,high_demand,0.04
ZAF:natref,2029,high_demand,2029
ZAF:sasol,2029,high_demand,323
ZAF:enref,2030,high_demand,0.04
ZAF:natref,2030,high_demand,2030
ZAF:sasol,2030,high_demand,323
ZAF:enref,2031,high_demand,0.04
ZAF:natref,2031,high_demand,2031
ZAF:sasol,2031,high_demand,323
ZAF:enref,2032,high_demand,0.04
ZAF:natref,2032,high_demand,2032
ZAF:sasol,2032,high_demand,323
ZAF:enref,2033,high_demand,0.04
ZAF:natref,2033,high_demand,2033
ZAF:sasol,2033,high_demand,323
ZAF:enref,2034,high_demand,0.04
ZAF:natref,2034,high_demand,2034
ZAF:sasol,2034,high_demand,323
ZAF:enref,2035,high_demand,0.04
ZAF:natref,2035,high_demand,2035
ZAF:sasol,2035,high_demand,323
ZAF:enref,2036,high_demand,0.04
ZAF:natref,2036,high_demand,2036
ZAF:sasol,2036,high_demand,323
ZAF:enref,2037,high_demand,0.04
ZAF:natref,2037,high_demand,2037
ZAF:sasol,2037,high_demand,323
ZAF:enref,2038,high_demand,0.04
ZAF:natref,2038,high_demand,2038
ZAF:sasol,2038,high_demand,323
ZAF:enref,2039,high_demand,0.04
ZAF:natref,2039,high_demand,2039
ZAF:sasol,2039,high_demand,323
ZAF:enref,2040,high_demand,0.04
ZAF:natref,2040,high_demand,2040
ZAF:sasol,2040,high_demand,323
ZAF:enref,2041,high_demand,0.04
ZAF:natref,2041,high_demand,2041
ZAF:sasol,2041,high_demand,323
ZAF:enref,2042,high_demand,0.04
ZAF:natref,2042,high_demand,2042
ZAF:sasol,2042,high_demand,323
ZAF:enref,2043,high_demand,0.04
ZAF:natref,2043,high_demand,2043
ZAF:sasol,2043,high_demand,323
ZAF:enref,2044,high_demand,0.04
ZAF:natref,2044,high_demand,2044
ZAF:sasol,2044,high_demand,323
ZAF:enref,2045,high_demand,0.04
ZAF:natref,2045,high_demand,2045
ZAF:sasol,2045,high_demand,323
ZAF:enref,2046,high_demand,0.04
ZAF:natref,2046,high_demand,2046
ZAF:sasol,2046,high_demand,323
ZAF:enref,2047,high_demand,0.04
ZAF:natref,2047,high_demand,2047
ZAF:sasol,2047,high_demand,323
ZAF:enref,2048,high_demand,0.04
ZAF:natref,2048,high_demand,2048
ZAF:sasol,2048,high_demand,323
ZAF:enref,2049,high_demand,0.04
ZAF:natref,2049,high_demand,2049
ZAF:sasol,2049,high_demand,323
ZAF:enref,2050,high_demand,0.04
ZAF:natref,2050,high_demand,2050
ZAF:sasol,2050,high_demand,323
ZAF:enref,2024,high_demand,0.15
ZAF:natref,2024,high_demand,2024
ZAF:sasol,2024,high_demand,31578
ZAF:enref,2025,high_demand,0.15
ZAF:natref,2025,high_demand,2025
ZAF:sasol,2025,high_demand,29341
ZAF:enref,2026,high_demand,0.15
ZAF:natref,2026,high_demand,2026
ZAF:sasol,2026,high_demand,39587
ZAF:enref,2027,high_demand,0.15
ZAF:natref,2027,high_demand,2027
ZAF:sasol,2027,high_demand,41103
ZAF:enref,2028,high_demand,0.15
ZAF:natref,2028,high_demand,2028
ZAF:sasol,2028,high_demand,40743
ZAF:enref,2029,high_demand,0.15
ZAF:natref,2029,high_demand,2029
ZAF:sasol,2029,high_demand,40743
ZAF:enref,2030,high_demand,0.15
ZAF:natref,2030,high_demand,2030
ZAF:sasol,2030,high_demand,40743
ZAF:enref,2031,high_demand,0.18
ZAF:natref,2031,high_demand,2031
ZAF:sasol,2031,high_demand,40743
ZAF:enref,2032,high_demand,0.18
ZAF:natref,2032,high_demand,2032
ZAF:sasol,2032,high_demand,40743
ZAF:enref,2033,high_demand,0.18
ZAF:natref,2033,high_demand,2033
ZAF:sasol,2033,high_demand,40743
ZAF:enref,2034,high_demand,0.18
ZAF:natref,2034,high_demand,2034
ZAF:sasol,2034,high_demand,40743
ZAF:enref,2035,high_demand,0.18
ZAF:natref,2035,high_demand,2035
ZAF:sasol,2035,high_demand,40743
ZAF:enref,2036,high_demand,0.2
ZAF:natref,2036,high_demand,2036
ZAF:sasol,2036,high_demand,40743
ZAF:enref,2037,high_demand,0.2
ZAF:natref,2037,high_demand,2037
ZAF:sasol,2037,high_demand,40743
ZAF:enref,2038,high_demand,0.2
ZAF:natref,2038,high_demand,2038
ZAF:sasol,2038,high_demand,40743
ZAF:enref,2039,high_demand,0.2
ZAF:natref,2039,high_demand,2039
ZAF:sasol,2039,high_demand,40743
ZAF:enref,2040,high_demand,0.2
ZAF:natref,2040,high_demand,2040
ZAF:sasol,2040,high_demand,40743
ZAF:enref,2041,high_demand,0.7
ZAF:natref,2041,high_demand,2041
ZAF:sasol,2041,high_demand,40743
ZAF:enref,2042,high_demand,0.7
ZAF:natref,2042,high_demand,2042
ZAF:sasol,2042,high_demand,40743
ZAF:enref,2043,high_demand,0.7
ZAF:natref,2043,high_demand,2043
ZAF:sasol,2043,high_demand,40743
ZAF:enref,2044,high_demand,0.7
ZAF:natref,2044,high_demand,2044
ZAF:sasol,2044,high_demand,40743
ZAF:enref,2045,high_demand,0.7
ZAF:natref,2045,high_demand,2045
ZAF:sasol,2045,high_demand,40743
ZAF:enref,2046,high_demand,0.7
ZAF:natref,2046,high_demand,2046
ZAF:sasol,2046,high_demand,40743
ZAF:enref,2047,high_demand,0.7
ZAF:natref,2047,high_demand,2047
ZAF:sasol,2047,high_demand,40743
ZAF:enref,2048,high_demand,0.7
ZAF:natref,2048,high_demand,2048
ZAF:sasol,2048,high_demand,40743
ZAF:enref,2049,high_demand,0.7
ZAF:natref,2049,high_demand,2049
ZAF:sasol,2049,high_demand,40743
ZAF:enref,2050,high_demand,0.7
ZAF:natref,2050,high_demand,2050
ZAF:sasol,2050,high_demand,40743
ZAF:enref,2008,high_demand,725799000
ZAF:sapref,2008,high_demand,545824000
ZAF:enref,2009,high_demand,666873000
ZAF:sapref,2009,high_demand,486528000
ZAF:enref,2010,high_demand,698802000
ZAF:sapref,2010,high_demand,516022000
ZAF:enref,2011,high_demand,754153000
ZAF:sapref,2011,high_demand,558637000
ZAF:enref,2012,high_demand,766291000
ZAF:sapref,2012,high_demand,559027000
ZAF:enref,2013,high_demand,781418000
ZAF:sapref,2013,high_demand,568128000
ZAF:enref,2014,high_demand,830645000
ZAF:sapref,2014,high_demand,608701000
ZAF:enref,2015,high_demand,805722000
ZAF:sapref,2015,high_demand,584740000
ZAF:enref,2016,high_demand,823300000
ZAF:sapref,2016,high_demand,606365000
ZAF:enref,2017,high_demand,895150000
ZAF:sapref,2017,high_demand,667908000
ZAF:enref,2018,high_demand,946454000
ZAF:sapref,2018,high_demand,727979000
ZAF:enref,2019,high_demand,923684000
